,year,GEOID,violations_count
0,2009,421010205001,1
1,2009,421010282002,35
2,2011,421010021002,2
3,2011,421010082006,36
4,2011,421010115001,20
5,2011,421010119001,1
6,2011,421010168001,1
7,2011,421010254002,1
8,2012,421010168004,1
9,2013,421010082006,3
10,2013,421010111005,1
11,2013,421010151023,1
12,2013,421010171003,1
13,2013,421010173002,3
14,2013,421010176022,1
15,2013,421010205001,1
16,2014,421010063001,3
17,2014,421010140001,3
18,2014,421010169024,2
19,2014,421010180013,2
20,2014,421010207001,121
21,2014,421010244003,1
22,2014,421010282003,1
23,2015,421010008042,2
24,2015,421010032004,1
25,2015,421010032006,1
26,2015,421010060001,1
27,2015,421010063001,1
28,2015,421010065004,1
29,2015,421010067006,1
30,2015,421010067007,1
31,2015,421010070004,1
32,2015,421010070005,1
33,2015,421010071012,1
34,2015,421010071023,1
35,2015,421010073004,2
36,2015,421010074002,1
37,2015,421010074005,1
38,2015,421010082003,2
39,2015,421010083022,1
40,2015,421010085007,1
41,2015,421010092002,1
42,2015,421010093003,1
43,2015,421010094002,1
44,2015,421010094003,2
45,2015,421010096001,1
46,2015,421010098022,1
47,2015,421010100004,1
48,2015,421010104001,1
49,2015,421010104002,1
50,2015,421010104003,1
51,2015,421010105002,3
52,2015,421010106001,1
53,2015,421010107004,1
54,2015,421010108001,1
55,2015,421010108002,1
56,2015,421010108004,1
57,2015,421010111002,1
58,2015,421010111005,1
59,2015,421010112005,1
60,2015,421010122042,1
61,2015,421010133001,2
62,2015,421010136024,1
63,2015,421010137002,1
64,2015,421010138001,5
65,2015,421010138002,2
66,2015,421010139001,1
67,2015,421010139002,2
68,2015,421010148001,1
69,2015,421010149001,1
70,2015,421010151011,1
71,2015,421010151012,4
72,2015,421010151021,2
73,2015,421010151022,3
74,2015,421010151023,2
75,2015,421010152002,2
76,2015,421010152005,1
77,2015,421010158001,2
78,2015,421010167011,3
79,2015,421010167013,2
80,2015,421010167022,1
81,2015,421010167024,4
82,2015,421010168001,2
83,2015,421010168006,2
84,2015,421010169011,2
85,2015,421010169013,1
86,2015,421010169023,2
87,2015,421010172012,2
88,2015,421010172021,1
89,2015,421010172022,1
90,2015,421010172023,1
91,2015,421010173002,4
92,2015,421010175001,1
93,2015,421010177011,1
94,2015,421010177024,1
95,2015,421010180013,1
96,2015,421010192004,1
97,2015,421010192005,1
98,2015,421010195013,1
99,2015,421010195021,1
100,2015,421010197004,1
101,2015,421010197005,1
102,2015,421010201011,1
103,2015,421010201021,1
104,2015,421010201023,1
105,2015,421010201024,1
106,2015,421010202001,1
107,2015,421010202004,1
108,2015,421010202005,3
109,2015,421010203001,3
110,2015,421010204001,1
111,2015,421010205001,1
112,2015,421010237002,1
113,2015,421010242004,1
114,2015,421010245003,1
115,2015,421010252007,1
116,2015,421010254002,2
117,2015,421010263022,1
118,2015,421010276004,1
119,2015,421010280001,1
120,2015,421010281001,126
121,2015,421010283003,1
122,2015,421010290002,1
123,2015,421010293002,1
124,2015,421010315012,1
125,2015,421010366001,1
126,2015,421010381001,1
